Bigram		Count	Probability
('Richard', 'W.')	 : 2	 : 0.0005331437711036076
('become', 'profitable')	 : 1	 : 0.00035606195478013177
('profitable', 'by')	 : 1	 : 0.0003566969859104691
('by', 'January')	 : 1	 : 0.00034837136387388956
('January', '1990')	 : 1	 : 0.0003563791874554526
('1990', ',')	 : 2	 : 0.0005346640527535199
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'James')	 : 2	 : 0.0005095974180397486
('James', 'P.')	 : 2	 : 0.0005326704545454545
('P.', 'Sherblom')	 : 1	 : 0.0003563791874554526
('Sherblom', ',')	 : 1	 : 0.0003566969859104691
(',', 'Transgenic')	 : 1	 : 0.0002621231979030144
('Transgenic', "'s")	 : 1	 : 0.0003566969859104691
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', '.')	 : 21	 : 0.0038320850026127853
('.', 'Currently')	 : 1	 : 0.0003028009084027252
('Currently', 'in')	 : 1	 : 0.0003566969859104691
('in', 'the')	 : 92	 : 0.01559094719195306
('the', 'middle')	 : 17	 : 0.002558271745309835
('middle', 'of')	 : 12	 : 0.0023061912364733014
('of', 'a')	 : 25	 : 0.003973105134474328
('a', 'four-week')	 : 1	 : 0.0003232062055591467
('four-week', ',')	 : 1	 : 0.0003566969859104691
(',', '20-city')	 : 1	 : 0.0002621231979030144
('20-city', 'tour')	 : 1	 : 0.0003566969859104691
('tour', 'as')	 : 1	 : 0.0003566969859104691
('as', 'a')	 : 25	 : 0.004517025712300208
('a', 'solo')	 : 1	 : 0.0003232062055591467
('solo', 'pianist')	 : 1	 : 0.0003566969859104691
('pianist', ',')	 : 1	 : 0.0003566969859104691
(',', 'Mr.')	 : 27	 : 0.003669724770642202
('Mr.', 'Glass')	 : 2	 : 0.0005186721991701245
('Glass', 'has')	 : 1	 : 0.00035656979853806385
('has', 'left')	 : 2	 : 0.000526685393258427
('left', 'behind')	 : 1	 : 0.0003563791874554526
('behind', 'his')	 : 1	 : 0.00035656979853806385
('his', 'synthesizers')	 : 1	 : 0.00035174111853675694
('synthesizers', ',')	 : 1	 : 0.0003566969859104691
(',', 'equipment')	 : 1	 : 0.0002621231979030144
('equipment', 'and')	 : 1	 : 0.0003564427018356799
('and', 'collaborators')	 : 1	 : 0.0003183192742320548
('collaborators', 'in')	 : 1	 : 0.0003566969859104691
('in', 'favor')	 : 1	 : 0.00033528918692372173
('favor', 'of')	 : 1	 : 0.00035656979853806385
('of', 'going')	 : 1	 : 0.0003056234718826406
('going', 'it')	 : 1	 : 0.0003563156957063959
('it', 'alone')	 : 1	 : 0.0003506311360448808
('alone', '.')	 : 1	 : 0.00035656979853806385
('.', 'Mary')	 : 1	 : 0.0003028009084027252
('Mary', 'Anne')	 : 1	 : 0.00035656979853806385
('Anne', 'Sudol')	 : 1	 : 0.0003566969859104691
('Sudol', ',')	 : 1	 : 0.0003566969859104691
(',', 'an')	 : 13	 : 0.001834862385321101
('an', 'analyst')	 : 1	 : 0.00035180299032541777
('analyst', 'at')	 : 1	 : 0.0003566969859104691
('at', 'Fitch')	 : 1	 : 0.0003505082369435682
('Fitch', 'Investors')	 : 1	 : 0.0003566969859104691
('Investors', 'in')	 : 1	 : 0.00035656979853806385
('in', 'New')	 : 9	 : 0.0016764459346186086
('New', 'York')	 : 26	 : 0.004788082993438553
('York', ',')	 : 3	 : 0.0007101011894194922
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'automotive')	 : 1	 : 0.00033973161202649905
('automotive', 'suppliers')	 : 1	 : 0.0003566969859104691
('suppliers', 'were')	 : 1	 : 0.0003566969859104691
('were', 'reporting')	 : 1	 : 0.00035373187124159886
('reporting', 'lower')	 : 1	 : 0.0003566333808844508
('lower', 'profit')	 : 1	 : 0.0003563791874554526
('profit', 'almost')	 : 1	 : 0.00035612535612535614
('almost', '``')	 : 1	 : 0.0003562522265764161
('``', 'across')	 : 1	 : 0.00034164673727365904
('across', 'the')	 : 13	 : 0.0024915465385299874
('the', 'board')	 : 144	 : 0.02060830017055145
('board', '.')	 : 57	 : 0.00971198928332217
('.', "''")	 : 64	 : 0.00984102952308857
("''", 'Mr.')	 : 8	 : 0.0015392508978963571
('Mr.', 'Leavitt')	 : 1	 : 0.00034578146611341634
('Leavitt', ',')	 : 3	 : 0.0007131395970761277
(',', '37')	 : 2	 : 0.00039318479685452164
('37', ',')	 : 1	 : 0.0003566333808844508
(',', 'was')	 : 51	 : 0.006815203145478375
('was', 'elected')	 : 19	 : 0.0034596090641757483
('elected', 'chairman')	 : 5	 : 0.0010636411983690835
('chairman', 'earlier')	 : 1	 : 0.0003246753246753247
('earlier', 'this')	 : 4	 : 0.0008904719501335708
('this', 'year')	 : 7	 : 0.00140424784974548
('year', 'by')	 : 1	 : 0.000354735721887194
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'company')	 : 84	 : 0.012080727686185332
('company', "'s")	 : 42	 : 0.0074743612028506864
("'s", 'new')	 : 6	 : 0.0011684192956100817
('new', 'board')	 : 3	 : 0.0007052186177715092
('board', ',')	 : 32	 : 0.005525787006028131
(',', 'having')	 : 5	 : 0.0007863695937090433
('having', 'served')	 : 1	 : 0.0003563791874554526
('served', 'as')	 : 3	 : 0.0007128854036713598
('as', 'vice')	 : 3	 : 0.0006949270326615705
('vice', 'president')	 : 11	 : 0.0021193924408336277
('president', 'for')	 : 1	 : 0.00035112359550561797
('for', 'legal')	 : 1	 : 0.0003471017007983339
('legal', 'and')	 : 2	 : 0.0005344735435595938
('and', 'corporate')	 : 1	 : 0.0003183192742320548
('corporate', 'affairs')	 : 1	 : 0.0003562522265764161
('affairs', '.')	 : 1	 : 0.0003566333808844508
('.', 'Mr.')	 : 67	 : 0.010295230885692657
('Mr.', 'Ackerman')	 : 1	 : 0.00034578146611341634
('Ackerman', 'already')	 : 1	 : 0.0003566969859104691
('already', 'is')	 : 1	 : 0.0003563156957063959
('is', 'seeking')	 : 1	 : 0.00034524426031417227
('seeking', 'to')	 : 2	 : 0.0005345687811831789
('to', 'oust')	 : 5	 : 0.0009592326139088729
('oust', 'Mr.')	 : 1	 : 0.0003563791874554526
('Mr.', 'Edelman')	 : 2	 : 0.0005186721991701245
('Edelman', 'as')	 : 1	 : 0.00035656979853806385
('as', 'chairman')	 : 25	 : 0.004517025712300208
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Datapoint')	 : 1	 : 0.0003056234718826406
('Datapoint', 'Corp.')	 : 1	 : 0.0003566969859104691
('Corp.', ',')	 : 37	 : 0.006706671373102718
(',', 'an')	 : 13	 : 0.001834862385321101
('an', 'Intelogic')	 : 1	 : 0.00035180299032541777
('Intelogic', 'affiliate')	 : 1	 : 0.00035656979853806385
('affiliate', '.')	 : 1	 : 0.0003566333808844508
('.', 'While')	 : 2	 : 0.0004542013626040878
('While', 'Ms.')	 : 1	 : 0.00035656979853806385
('Ms.', 'Kaddurah-Daouk')	 : 1	 : 0.00035650623885918
('Kaddurah-Daouk', 'left')	 : 1	 : 0.0003566969859104691
('left', 'MIT')	 : 1	 : 0.0003563791874554526
('MIT', 'to')	 : 1	 : 0.0003566333808844508
('to', 'head')	 : 3	 : 0.000639488409272582
('head', 'Amira')	 : 1	 : 0.000355998576005696
('Amira', ',')	 : 1	 : 0.0003566333808844508
(',', 'Prof.')	 : 1	 : 0.0002621231979030144
('Prof.', 'Schimmel')	 : 1	 : 0.0003566969859104691
('Schimmel', 'will')	 : 1	 : 0.0003566969859104691
('will', 'continue')	 : 8	 : 0.0015734265734265735
('continue', 'to')	 : 3	 : 0.0007118704395799964
('to', 'work')	 : 4	 : 0.0007993605115907274
('work', 'at')	 : 2	 : 0.000533997864008544
('at', 'MIT')	 : 1	 : 0.0003505082369435682
('MIT', ',')	 : 1	 : 0.0003566333808844508
(',', 'serve')	 : 1	 : 0.0002621231979030144
('serve', 'on')	 : 3	 : 0.0007123775601068567
('on', 'Amira')	 : 1	 : 0.00034746351633078526
('Amira', "'s")	 : 1	 : 0.0003566333808844508
("'s", 'board')	 : 48	 : 0.008178935069270572
('board', 'and')	 : 10	 : 0.001841929002009377
('and', 'own')	 : 1	 : 0.0003183192742320548
('own', 'a')	 : 1	 : 0.00035606195478013177
('a', 'small')	 : 2	 : 0.0004848093083387201
('small', 'equity')	 : 1	 : 0.0003566333808844508
('equity', 'stake')	 : 2	 : 0.0005349500713266762
('stake', 'in')	 : 13	 : 0.002488888888888889
('in', 'the')	 : 92	 : 0.01559094719195306
('the', 'company')	 : 84	 : 0.012080727686185332
('company', '.')	 : 22	 : 0.003997914131757344
('.', 'Allegheny')	 : 1	 : 0.0003028009084027252
('Allegheny', 'Ludlum')	 : 1	 : 0.0003566969859104691
('Ludlum', 'Corp.')	 : 1	 : 0.0003566969859104691
('Corp.', 'expects')	 : 1	 : 0.00035298270384751147
('expects', 'to')	 : 7	 : 0.0014237408791599928
('to', 'report')	 : 4	 : 0.0007993605115907274
('report', 'third-quarter')	 : 1	 : 0.00035612535612535614
('third-quarter', 'net')	 : 1	 : 0.0003562522265764161
('net', 'of')	 : 2	 : 0.0005346640527535199
('of', 'about')	 : 5	 : 0.0009168704156479218
('about', '$')	 : 6	 : 0.0012393767705382436
('$', '34')	 : 1	 : 0.0003505082369435682
('34', 'million')	 : 1	 : 0.0003566333808844508
('million', ',')	 : 6	 : 0.0012371862849063274
(',', 'or')	 : 18	 : 0.002490170380078637
('or', '$')	 : 5	 : 0.0010596962204168139
('$', '1.50')	 : 1	 : 0.0003505082369435682
('1.50', 'a')	 : 1	 : 0.0003566969859104691
('a', 'share')	 : 19	 : 0.003232062055591467
('share', ',')	 : 11	 : 0.0021321961620469083
(',', 'down')	 : 2	 : 0.00039318479685452164
('down', 'from')	 : 2	 : 0.0005334281650071124
('from', '$')	 : 2	 : 0.0005274261603375527
('$', '38.4')	 : 1	 : 0.0003505082369435682
('38.4', 'million')	 : 1	 : 0.0003566969859104691
('million', ',')	 : 6	 : 0.0012371862849063274
(',', 'or')	 : 18	 : 0.002490170380078637
('or', '$')	 : 5	 : 0.0010596962204168139
('$', '1.70')	 : 1	 : 0.0003505082369435682
('1.70', 'a')	 : 1	 : 0.0003566969859104691
('a', 'share')	 : 19	 : 0.003232062055591467
('share', ',')	 : 11	 : 0.0021321961620469083
(',', 'a')	 : 68	 : 0.009043250327653997
('a', 'year')	 : 7	 : 0.001292824822236587
('year', 'earlier')	 : 3	 : 0.000709471443774388
('earlier', ',')	 : 3	 : 0.0007123775601068567
(',', 'Richard')	 : 2	 : 0.00039318479685452164
('Richard', 'P.')	 : 1	 : 0.00035542918073573843
('P.', 'Simmons')	 : 2	 : 0.0005345687811831789
('Simmons', ',')	 : 4	 : 0.0008909479686386316
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', ',')	 : 56	 : 0.009928583870405853
(',', 'told')	 : 5	 : 0.0007863695937090433
('told', 'institutional')	 : 1	 : 0.00035606195478013177
('institutional', 'investors')	 : 2	 : 0.0005349500713266762
('investors', 'in')	 : 2	 : 0.0005339028296849973
('in', 'New')	 : 9	 : 0.0016764459346186086
('New', 'York')	 : 26	 : 0.004788082993438553
('York', '.')	 : 2	 : 0.0005325758920646192
('.', 'People')	 : 3	 : 0.0006056018168054504
('People', 'familiar')	 : 3	 : 0.0007128854036713598
('familiar', 'with')	 : 7	 : 0.0014252627828255835
('with', 'Monday')	 : 1	 : 0.00034995625546806647
('Monday', "'s")	 : 1	 : 0.00035606195478013177
("'s", 'board')	 : 48	 : 0.008178935069270572
('board', 'meeting')	 : 10	 : 0.001841929002009377
('meeting', 'said')	 : 1	 : 0.00035536602700781805
('said', 'it')	 : 20	 : 0.0035671819262782403
('it', 'was')	 : 15	 : 0.002805049088359046
('was', 'the')	 : 4	 : 0.0008649022660439371
('the', 'state')	 : 3	 : 0.0005685048322910744
('state', "'s")	 : 2	 : 0.0005339028296849973
("'s", 'refusal')	 : 1	 : 0.00033383408446002337
('refusal', 'to')	 : 1	 : 0.0003566969859104691
('to', 'explicitly')	 : 1	 : 0.000319744204636291
('explicitly', 'reaffirm')	 : 1	 : 0.0003566969859104691
('reaffirm', 'the')	 : 1	 : 0.0003566969859104691
('the', 'credit')	 : 1	 : 0.0002842524161455372
('credit', 'guarantees')	 : 1	 : 0.00035650623885918
('guarantees', 'that')	 : 1	 : 0.0003566333808844508
('that', 'led')	 : 1	 : 0.00034112229234180454
('led', 'Union')	 : 1	 : 0.0003559352197899982
('Union', 'Bank')	 : 1	 : 0.0003566969859104691
('Bank', 'and')	 : 1	 : 0.00035587188612099647
('and', 'Postipankki')	 : 1	 : 0.0003183192742320548
('Postipankki', 'to')	 : 1	 : 0.0003566969859104691
('to', 'halt')	 : 2	 : 0.00047961630695443646
('halt', 'lending')	 : 1	 : 0.0003566333808844508
('lending', 'to')	 : 1	 : 0.0003566333808844508
('to', 'Waertsilae')	 : 1	 : 0.000319744204636291
('Waertsilae', 'Marine')	 : 1	 : 0.0003566969859104691
('Marine', '.')	 : 1	 : 0.0003566969859104691
('.', 'But')	 : 26	 : 0.00408781226343679
('But', 'analysts')	 : 1	 : 0.000354924578527063
('analysts', 'said')	 : 1	 : 0.00035618878005342833
('said', 'early')	 : 1	 : 0.00033973161202649905
('early', 'results')	 : 1	 : 0.000355998576005696
('results', 'from')	 : 1	 : 0.00035650623885918
('from', 'the')	 : 22	 : 0.004043600562587905
('the', 'reorganization')	 : 1	 : 0.0002842524161455372
('reorganization', 'have')	 : 1	 : 0.0003566333808844508
('have', 'been')	 : 7	 : 0.0014124293785310734
('been', 'disappointing')	 : 1	 : 0.00035435861091424523
('disappointing', ',')	 : 1	 : 0.0003566969859104691
(',', 'especially')	 : 3	 : 0.0005242463958060288
('especially', 'in')	 : 2	 : 0.0005344735435595938
('in', 'Europe')	 : 2	 : 0.0005029337803855825
('Europe', ',')	 : 1	 : 0.00035656979853806385
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'there')	 : 2	 : 0.0004774789113480821
('there', 'were')	 : 1	 : 0.00035561877667140827
('were', 'signs')	 : 1	 : 0.00035373187124159886
('signs', 'that')	 : 1	 : 0.0003566333808844508
('that', 'the')	 : 52	 : 0.009039740747057821
('the', 'board')	 : 144	 : 0.02060830017055145
('board', 'became')	 : 1	 : 0.0003348961821835231
('became', 'impatient')	 : 1	 : 0.00035650623885918
('impatient', '.')	 : 2	 : 0.0005349500713266762
('.', 'He')	 : 30	 : 0.004693414080242241
('He', 'was')	 : 6	 : 0.0012409147314305974
('was', 'chairman')	 : 6	 : 0.0012108631724615118
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'co-chief')	 : 3	 : 0.0006366385484641095
('co-chief', 'executive')	 : 4	 : 0.00089126559714795
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', 'of')	 : 46	 : 0.008186727051036406
('of', 'Ladenburg')	 : 1	 : 0.0003056234718826406
('Ladenburg', ',')	 : 1	 : 0.0003566333808844508
(',', 'Thalmann')	 : 1	 : 0.0002621231979030144
('Thalmann', '&')	 : 1	 : 0.0003566969859104691
('&', 'Co.')	 : 13	 : 0.002479631597591215
('Co.', 'until')	 : 2	 : 0.0005319148936170213
('until', 'July')	 : 1	 : 0.00035568202027387515
('July', ',')	 : 1	 : 0.00035650623885918
(',', 'when')	 : 11	 : 0.0015727391874180866
('when', 'he')	 : 5	 : 0.0010649627263045794
('he', 'was')	 : 6	 : 0.001229796205200281
('was', 'named')	 : 42	 : 0.007438159487977858
('named', 'co-chairman')	 : 1	 : 0.0003531696980399082
('co-chairman', 'of')	 : 1	 : 0.0003566333808844508
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'investment-banking')	 : 1	 : 0.0002842524161455372
('investment-banking', 'firm')	 : 2	 : 0.0005348546978070957
('firm', 'along')	 : 1	 : 0.000354924578527063
('along', 'with')	 : 3	 : 0.00071301247771836
('with', 'Howard')	 : 1	 : 0.00034995625546806647
('Howard', 'L.')	 : 1	 : 0.00035650623885918
('L.', 'Blum')	 : 1	 : 0.0003553028957186001
('Blum', 'Jr.')	 : 1	 : 0.0003566333808844508
('Jr.', ',')	 : 27	 : 0.004969826056088037
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'then')	 : 1	 : 0.0003506311360448808
('then', 'became')	 : 1	 : 0.0003562522265764161
('became', 'the')	 : 1	 : 0.00035650623885918
('the', 'sole')	 : 1	 : 0.0002842524161455372
('sole', 'chief')	 : 1	 : 0.0003566969859104691
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', '.')	 : 10	 : 0.0018981880931837791
('.', 'Seven')	 : 1	 : 0.0003028009084027252
('Seven', 'Japanese')	 : 1	 : 0.0003566969859104691
('Japanese', 'department-store')	 : 1	 : 0.0003563156957063959
('department-store', 'groups')	 : 1	 : 0.0003566969859104691
('groups', 'were')	 : 1	 : 0.0003566969859104691
('were', 'approached')	 : 1	 : 0.00035373187124159886
('approached', 'by')	 : 1	 : 0.0003566969859104691
('by', 'investment')	 : 1	 : 0.00034837136387388956
('investment', 'bankers')	 : 1	 : 0.0003551136363636364
('bankers', 'representing')	 : 2	 : 0.0005347593582887701
('representing', 'Bloomingdale')	 : 1	 : 0.00035650623885918
('Bloomingdale', "'s")	 : 2	 : 0.0005349500713266762
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', ',')	 : 92	 : 0.015097402597402597
(',', 'Marvin')	 : 1	 : 0.0002621231979030144
('Marvin', 'Traub')	 : 1	 : 0.0003566333808844508
('Traub', ',')	 : 1	 : 0.0003566969859104691
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'more')	 : 1	 : 0.0003183192742320548
('more', 'than')	 : 13	 : 0.0024862369028591726
('than', 'half')	 : 1	 : 0.0003550505947097461
('half', 'are')	 : 1	 : 0.00035650623885918
('are', 'seeking')	 : 1	 : 0.0003529204164460914
('seeking', 'additional')	 : 1	 : 0.0003563791874554526
('additional', 'information')	 : 1	 : 0.0003557452863749555
('information', 'on')	 : 1	 : 0.00035656979853806385
('on', 'the')	 : 65	 : 0.011466296038915913
('the', 'group')	 : 6	 : 0.0009948834565093804
('group', ',')	 : 5	 : 0.0010619469026548673
(',', 'bankers')	 : 1	 : 0.0002621231979030144
('bankers', 'say')	 : 1	 : 0.00035650623885918
('say', '.')	 : 1	 : 0.0003559352197899982
('.', 'David')	 : 5	 : 0.0009084027252081756
('David', 'Boren')	 : 2	 : 0.0005333333333333334
('Boren', ',')	 : 1	 : 0.0003566333808844508
(',', 'the')	 : 111	 : 0.014678899082568808
('the', 'Intelligence')	 : 1	 : 0.0002842524161455372
('Intelligence', 'Committee')	 : 1	 : 0.0003566969859104691
('Committee', 'chairman')	 : 4	 : 0.0008890469416785206
('chairman', ',')	 : 92	 : 0.015097402597402597
(',', 'is')	 : 14	 : 0.001965923984272608
('is', 'upset')	 : 1	 : 0.00034524426031417227
('upset', 'that')	 : 1	 : 0.0003566969859104691
('that', 'someone')	 : 1	 : 0.00034112229234180454
('someone', 'leaked')	 : 1	 : 0.0003566333808844508
('leaked', 'a')	 : 1	 : 0.0003566969859104691
('a', 'letter')	 : 3	 : 0.0006464124111182935
('letter', 'to')	 : 6	 : 0.001246660730186999
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'committee')	 : 5	 : 0.0008527572484366117
('committee', 'from')	 : 1	 : 0.0003550505947097461
('from', 'the')	 : 22	 : 0.004043600562587905
('the', 'Reagan')	 : 1	 : 0.0002842524161455372
('Reagan', 'administration')	 : 1	 : 0.0003566969859104691
('administration', 'suggesting')	 : 1	 : 0.00035606195478013177
('suggesting', 'that')	 : 1	 : 0.0003566969859104691
('that', 'the')	 : 52	 : 0.009039740747057821
('the', 'U.S.')	 : 4	 : 0.0007106310403638431
('U.S.', 'would')	 : 1	 : 0.00035587188612099647
('would', 'undertake')	 : 1	 : 0.00035137034434293746
('undertake', 'to')	 : 1	 : 0.0003566969859104691
('to', 'warn')	 : 1	 : 0.000319744204636291
('warn', 'Panamanian')	 : 1	 : 0.0003566969859104691
('Panamanian', 'thug')	 : 1	 : 0.0003566969859104691
('thug', 'Manuel')	 : 1	 : 0.0003566969859104691
('Manuel', 'Noriega')	 : 1	 : 0.00035656979853806385
('Noriega', 'if')	 : 1	 : 0.0003566969859104691
('if', 'it')	 : 4	 : 0.0008882572392965003
('it', 'got')	 : 1	 : 0.0003506311360448808
('got', 'wind')	 : 1	 : 0.00035650623885918
('wind', 'of')	 : 1	 : 0.0003566969859104691
('of', 'an')	 : 6	 : 0.001069682151589242
('an', 'impending')	 : 1	 : 0.00035180299032541777
('impending', 'coup')	 : 1	 : 0.0003566333808844508
('coup', 'that')	 : 1	 : 0.0003566333808844508
('that', 'might')	 : 1	 : 0.00034112229234180454
('might', 'result')	 : 1	 : 0.00035587188612099647
('result', 'in')	 : 1	 : 0.00035612535612535614
('in', 'his')	 : 6	 : 0.001173512154233026
('his', 'assassination')	 : 1	 : 0.00035174111853675694
('assassination', '.')	 : 1	 : 0.0003566969859104691
('.', 'He')	 : 30	 : 0.004693414080242241
('He', 'also')	 : 2	 : 0.0005318205991845417
('also', 'is')	 : 2	 : 0.0005298481102084069
('is', 'close')	 : 1	 : 0.00034524426031417227
('close', 'to')	 : 1	 : 0.0003563156957063959
('to', 'American')	 : 2	 : 0.00047961630695443646
('American', 'Express')	 : 4	 : 0.0008884150675195451
('Express', "'s")	 : 1	 : 0.0003564427018356799
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', ',')	 : 56	 : 0.009928583870405853
(',', 'James')	 : 9	 : 0.001310615989515072
('James', 'D.')	 : 2	 : 0.0005326704545454545
('D.', 'Robinson')	 : 2	 : 0.0005322924059616749
('Robinson', 'III')	 : 2	 : 0.0005349500713266762
('III', '.')	 : 1	 : 0.0003562522265764161
('.', 'Regarding')	 : 1	 : 0.0003028009084027252
('Regarding', 'the')	 : 1	 : 0.0003566969859104691
('the', 'Oct.')	 : 1	 : 0.0002842524161455372
('Oct.', '3')	 : 1	 : 0.000355998576005696
('3', 'letter')	 : 1	 : 0.00035656979853806385
('letter', 'to')	 : 6	 : 0.001246660730186999
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'editor')	 : 1	 : 0.0002842524161455372
('editor', 'from')	 : 1	 : 0.00035650623885918
('from', 'Rep.')	 : 1	 : 0.00035161744022503517
